"Taxon"	"ID"	"Region"	"Latitude"	"Longitude"	"Elevation"	"Day"	"Month"	"Year"	"Collector"	"Subfamily"	"Tribe"	"Hydromyini.Division.Rattini.Group"
"Abeomelomys spMW"	"MW2700.114"	"Mt. Wilhelm"	-5.815	145.159	2700	30	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Abeomelomys spMW"	"MW3200.139"	"Mt. Wilhelm"	-5.8	145.069	3200	5	10	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Mallomys division"
"Anisomys imitatorFR"	"FR1200.043"	"Saruwaged Range"	-5.965	146.834	1200	3	5	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Anisomys imitatorFR"	"FR1700.092"	"Saruwaged Range"	-6.032	146.811	1700	21	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Anisomys imitatorFR"	"FR2200.020"	"Saruwaged Range"	-6.027	146.834	2200	12	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Anisomys imitatorFR"	"FR2700.048"	"Saruwaged Range"	-6.111	146.896	2700	6	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Anisomys imitatorMW"	"MW2200.156"	"Mt. Wilhelm"	-5.759	145.186	2200	25	9	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Coccymys shawmayeri"	"MW2700.122"	"Mt. Wilhelm"	-5.815	145.159	2700	31	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW2700.123"	"Mt. Wilhelm"	-5.815	145.159	2700	31	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3200.001"	"Mt. Wilhelm"	-5.8	145.069	3200	19	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3200.155"	"Mt. Wilhelm"	-5.8	145.069	3200	6	10	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.011"	"Mt. Wilhelm"	-5.789	145.061	3700	9	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.021"	"Mt. Wilhelm"	-5.789	145.061	3700	11	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.026"	"Mt. Wilhelm"	-5.789	145.061	3700	11	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.027"	"Mt. Wilhelm"	-5.789	145.061	3700	11	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.038"	"Mt. Wilhelm"	-5.789	145.061	3700	12	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.039"	"Mt. Wilhelm"	-5.789	145.061	3700	12	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Coccymys shawmayeri"	"MW3700.040"	"Mt. Wilhelm"	-5.789	145.061	3700	12	7	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Coccymys division"
"Hydromys sp"	"WG200.001"	"Wanang"	-5.255	145.147	200	8	8	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Hydromys sp"	"WG200.002"	"Wanang"	-5.255	145.147	200	8	8	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Hydromys sp"	"WG200.006"	"Wanang"	-5.255	145.147	200	10	8	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Hydromys sp"	"WG200.013"	"Wanang"	-5.255	145.147	200	10	8	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Hydromys sp"	"WG200.024"	"Wanang"	-5.255	145.147	200	NA	NA	2022	"locals. BRC_NatGeog_non-invasive_pitfalls"	"Murinae"	"Hydromyini"	"Hydromys division"
"Hyomys goliath"	"FR1700.082"	"Saruwaged Range"	-6.032	146.811	1700	20	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Hyomys goliath"	"MW1700.025"	"Mt. Wilhelm"	-5.766	145.202	1700	13	6	2019	"F. Vejmělka"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Leptomys ernstmayri"	"FR1700.020"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Leptomys ernstmayri"	"FR1700.028"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Leptomys ernstmayri"	"FR1700.083"	"Saruwaged Range"	-6.032	146.811	1700	20	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Leptomys ernstmayri"	"FR2200.033"	"Saruwaged Range"	-6.027	146.834	2200	14	4	2020	"D. Okena"	"Murinae"	"Hydromyini"	"Hydromys division"
"Lorentzimys highFR"	"FR1700.017"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR1700.019"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR1700.026"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
"Lorentzimys highFR"	"FR1700.027"	"Saruwaged Range"	-6.032	146.811	1700	14	5	2023	"D. Okena"	"Murinae"	"Hydromyini"	"Pogonomys division"
